Pathways,Cluster,Cluster_Sec,Cluster_Ter,Lineage,Stage,Fold_Enrichment,pvalue,FDR
G-protein (Gq alpha and Go alpha) signaling   ,qNSCII,0,0,Neuro,3,3.25,0.0124,0.408
Ionotropic glutamate receptor   ,qNSCII,0,0,Neuro,3,8.1,0.000163,0.0268
Metabotropic glutamate receptor group III   ,qNSCII,0,0,Neuro,3,4.01,0.0205,0.421
Vasopressin synthesis ,qNSCII,0,0,Neuro,3,10.18,0.0204,0.478
Axon guidance mediated by semaphorins ,TAP,0,0,Neuro,9,4.36,0.0386,0.218
CCKR signaling map ,TAP,0,0,Neuro,9,2.12,0.0322,0.195
Cell cycle ,TAP,0,0,Neuro,9,7.96,0.000807,0.0165
Cytoskeletal regulation by Rho GTPase ,TAP,0,0,Neuro,9,4.6,6.58E-05,0.0018
De novo pyrimidine deoxyribonucleotide biosynthesis ,TAP,0,0,Neuro,9,16.71,1.38E-06,5.65E-05
De novo pyrimidine ribonucleotides biosythesis ,TAP,0,0,Neuro,9,16.71,1.38E-06,5.65E-05
DNA replication ,TAP,0,0,Neuro,9,11.14,6.51E-07,3.56E-05
FAS signaling   ,TAP,0,0,Neuro,9,5.06,0.00463,0.0632
FGF signaling   ,TAP,0,0,Neuro,9,2.53,0.0125,0.121
G-protein (rod/phototransduction) signaling  ,TAP,0,0,Neuro,9,4.52,0.00713,0.0835
p53   ,TAP,0,0,Neuro,9,3.98,0.000403,0.00944
Ubiquitin proteasome   ,TAP,0,0,Neuro,9,6.58,4.23E-07,3.47E-05
5HT2 type receptor mediated signaling   ,,,,,,,,
Angiogenesis ,,,,,,,,
Axon guidance mediated by semaphorins ,,,,,,,,
Cytoskeletal regulation by Rho GTPase ,,,,,,,,
Endothelin signaling   ,,,,,,,,
FGF signaling   ,,,,,,,,
Muscarinic acetylcholine receptor 1/3 signaling   ,,,,,,,,
Ras   ,,,,,,,,
De novo purine biosynthesis ,,,,,,,,
De novo pyrimidine deoxyribonucleotide biosynthesis ,,,,,,,,
De novo pyrimidine ribonucleotides biosythesis ,,,,,,,,
FAS signaling   ,,,,,,,,
Notch signaling   ,,,,,,,,
Alpha adrenergic receptor signaling   ,,,,,,,,
Angiogenesis ,,,,,,,,
Cysteine biosynthesis ,,,,,,,,
Cytoskeletal regulation by Rho GTPase ,,,,,,,,
Methylmalonyl   ,,,,,,,,
PDGF signaling   ,,,,,,,,
Pyruvate metabolism ,,,,,,,,
Ubiquitin proteasome   ,,,,,,,,
Angiogenesis ,,,,,,,,
Cadherin signaling   ,,,,,,,,
PDGF signaling   ,,,,,,,,
Vasopressin synthesis ,,,,,,,,
Cysteine biosynthesis ,,,,,,,,
Cytoskeletal regulation by Rho GTPase ,,,,,,,,
Glutamine glutamate conversion ,,,,,,,,
Glycolysis ,,,,,,,,
G-protein (Gi alpha and Gs alpha) signaling,,,,,,,,
G-protein (Gq alpha and Go alpha) signaling   ,,,,,,,,
Ionotropic glutamate receptor   ,,,,,,,,
Metabotropic glutamate receptor group III   ,,,,,,,,
CCKR signaling map ,,,,,,,,
Cell cycle ,,,,,,,,
Cytoskeletal regulation by Rho GTPase ,,,,,,,,
De novo purine biosynthesis ,,,,,,,,
De novo pyrimidine deoxyribonucleotide biosynthesis ,,,,,,,,
De novo pyrimidine ribonucleotides biosythesis ,,,,,,,,
DNA replication ,,,,,,,,
G-protein (rod/phototransduction) signaling  ,,,,,,,,
Notch signaling   ,,,,,,,,
p53   ,,,,,,,,
Ubiquitin proteasome   ,,,,,,,,
5HT2 type receptor mediated signaling   ,,,,,,,,
Angiogenesis ,,,,,,,,
Angiotensin II signaling via G proteins + beta-arrestin ,,,,,,,,
CCKR signaling map ,,,,,,,,
Endothelin signaling   ,,,,,,,,
FGF signaling   ,,,,,,,,
G-protein (Gq alpha and Go alpha) signaling   ,,,,,,,,
Histamine H1 receptor mediated signaling   ,,,,,,,,
Ionotropic glutamate receptor   ,,,,,,,,
Metabotropic glutamate receptor group III   ,,,,,,,,
Muscarinic acetylcholine receptor 1/3 signaling   ,,,,,,,,
Vasopressin synthesis ,,,,,,,,
