Cell ID,Axis1,Axis2,Cluster,t11V1,t11V2,t12V1,t12V2,t13V1,t13V2,Cell_Cycle_Phase
MOL_23,-0.298197,0.0843737,MOL,,,,,-0.325112,0.06148,G1
MOL_33,-0.355227,0.0800255,MOL,,,,,-0.345085,0.0871399,G1
MOL_43,-0.339688,0.0764533,MOL,,,,,-0.338098,0.0776303,G1
MOL_53,-0.351429,0.0670115,MOL,,,,,-0.337867,0.0773193,G1
MOL_70,-0.377197,0.0608777,MOL,,,,,-0.343569,0.0850233,G1
MOL_47,-0.264977,0.060212,MOL,,,,,-0.298884,0.0317381,G1
MOL_32,-0.324556,0.0594052,MOL,,,,,-0.323853,0.0600084,G1
MOL_16,-0.350788,0.0585623,MOL,,,,,-0.333661,0.0718912,G1
MOL_58,-0.279293,0.0579476,MOL,,,,,-0.303263,0.0368413,G1
MOL_51,-0.292631,0.0570109,MOL,,,,,-0.308504,0.0427527,G1
MOL_65,-0.332964,0.0565336,MOL,,,,,-0.325924,0.0624367,G1
MOL_31,-0.314863,0.0549337,MOL,,,,,-0.317416,0.0526663,G1
MOL_59,-0.301939,0.0549262,MOL,,,,,-0.311611,0.0462046,G1
MOL_69,-0.340763,0.0506608,MOL,,,,,-0.32616,0.0627223,G1
MOL_14,-0.33553,0.0500661,MOL,,,,,-0.323884,0.0600454,G1
MOL_28,-0.359764,0.0475375,MOL,,,,,-0.331946,0.0697363,G1
MOL_49,-0.319326,0.0429062,MOL,,,,,-0.313418,0.0482106,G1
MOL_50,-0.315228,0.039867,MOL,,,,,-0.31008,0.0445055,G1
MOL_17,-0.287971,0.0393555,MOL,,,,,-0.298155,0.0308672,G1
MOL_66,-0.327334,0.0349457,MOL,,,,,-0.313061,0.0478128,G1
MOL_42,-0.294831,0.033194,MOL,,,,,-0.297937,0.0306052,G1
MOL_71,-0.301098,0.0311098,MOL,,,,,-0.299501,0.0324686,G1
MOL_24,-0.319728,0.0283232,MOL,,,,,-0.306312,0.0402984,G1
MOL_75,-0.275459,0.0226514,MOL,,,,,-0.285857,0.0147473,G1
MOL_18,-0.358628,0.0209274,MOL,,,,,-0.319533,0.0550544,G1
MOL_1,-0.319199,0.0194693,MOL,,,,,-0.301489,0.0347986,G1
MOL_35,-0.282615,0.012287,MOL,,,,,-0.283686,0.011564,G1
MOL_37,-0.262976,0.0118749,MOL,,,,,-0.278081,0.00252746,G1
MOL_25,-0.256681,0.00248104,MOL,,,,,-0.273484,-0.00595264,G1
MOL_4,-0.256342,0.00166823,MOL,,,,,-0.273139,-0.00664147,G1
MOL_3,-0.275236,-0.00569862,MOL,,,,,-0.273967,-0.00500648,G1
MOL_9,-0.272498,-0.00763861,MOL,,,,,-0.27262,-0.00769289,G1
MOL_5,-0.258955,-0.0212463,MOL,,,,,-0.26573,-0.023687,G1
MOL_12,-0.250161,-0.0255499,MOL,,,,,-0.263451,-0.0300338,G1
MOL_46,-0.282031,-0.0267901,MOL,,,,,-0.266823,-0.0208621,G1
MOL_7,-0.260349,-0.030926,MOL,,,,,-0.262893,-0.0317142,G1
MOL_63,-0.250973,-0.038244,MOL,,,,,-0.260108,-0.0407463,G1
MOL_36,-0.231523,-0.0415699,MOL,,,,,-0.258222,-0.0477048,G1
MOL_2,-0.225868,-0.0691182,MOL,,,,,-0.252523,-0.0725064,G1
MOL_64,-0.298757,-0.0874816,MOL,,,,,-0.252523,-0.0725064,G1
MOL_11,-0.300397,-0.0878561,MOL,,,,,-0.252523,-0.0725064,G1
NB_29,0.444597,0.351317,NB,0.451493,0.346406,,,,,G2M
NB_69,0.434048,0.328545,NB,0.440119,0.325245,,,,,G1
NB_90,0.427847,0.288871,NB,0.422085,0.29206,,,,,G2M
NB_55,0.428886,0.274624,NB,0.416343,0.281687,,,,,G2M
NB_24,0.405034,0.254304,NB,0.401912,0.256063,,,,,G2M
NB_4,0.372948,0.241379,NB,0.388364,0.232511,,,,,S
NB_101,0.370221,0.213548,NB,0.375467,0.210477,,,,,S
NB_47,0.343886,0.210159,NB,0.3671,0.196379,,,,,G2M
NB_75,0.370421,0.181836,NB,0.361559,0.18717,,,,,G2M
NB_59,0.349902,0.175113,NB,0.352983,0.173201,,,,,S
NB_97,0.362937,0.172198,NB,0.35527,0.176889,,,,,S
NB_70,0.353735,0.170739,NB,0.352088,0.171767,,,,,G2M
NB_49,0.33747,0.164458,NB,0.344567,0.159904,,,,,G2M
NB_44,0.367215,0.160381,NB,0.351229,0.170394,,,,,G1
NB_28,0.338738,0.159936,NB,0.342868,0.157271,,,,,G2M
NB_65,0.354575,0.159471,NB,0.347252,0.164101,,,,,G1
NB_30,0.353852,0.157265,NB,0.346063,0.162237,,,,,G2M
NB_25,0.331686,0.153681,NB,0.337871,0.149618,,,,,G1
NB_23,0.317119,0.153264,NB,0.333168,0.142541,,,,,S
NB_94,0.340848,0.151882,NB,0.339803,0.152562,,,,,G2M
NB_12,0.333355,0.14638,NB,0.335003,0.145288,,,,,G2M
NB_33,0.320843,0.143125,NB,0.329578,0.13722,,,,,G2M
NB_5,0.332284,0.141798,NB,0.33255,0.14162,,,,,G2M
NB_58,0.323733,0.141334,NB,0.329654,0.137331,,,,,S
NB_13,0.327459,0.133828,NB,0.327326,0.133919,,,,,G2M
NB_53,0.332028,0.114921,NB,0.319952,0.12334,,,,,G2M
NB_32,0.315363,0.106422,NB,0.310331,0.110113,,,,,G2M
NB_35,0.305322,0.10582,NB,0.306447,0.10497,,,,,G1
NB_52,0.322523,0.100179,NB,0.309941,0.109591,,,,,G2M
NB_31,0.308036,0.0997378,NB,0.304509,0.102445,,,,,G2M
NB_15,0.325171,0.0991286,NB,0.310313,0.110088,,,,,G2M
NB_80,0.293044,0.0944101,NB,0.296188,0.0918911,,,,,S
NB_88,0.30264,0.0911558,NB,0.298316,0.0945475,,,,,G2M
NB_43,0.27741,0.0910847,NB,0.288156,0.0821077,,,,,G1
NB_6,0.288616,0.0861787,NB,0.290359,0.0847547,,,,,S
NB_95,0.267837,0.0815375,NB,0.27919,0.0716015,,,,,S
NB_27,0.291139,0.0809169,NB,0.288796,0.0828743,,,,,G2M
NB_67,0.273118,0.0774996,NB,0.279496,0.0719523,,,,,G1
NB_54,0.272019,0.0724123,NB,0.276468,0.068492,,,,,S
NB_89,0.271262,0.069736,NB,0.274793,0.0665984,,,,,G2M
NB_86,0.27686,0.0685661,NB,0.276676,0.0687284,,,,,G2M
NB_14,0.278977,0.0618093,NB,0.274269,0.0660092,,,,,S
NB_92,0.275962,0.0604101,NB,0.272251,0.0637516,,,,,G2M
NB_81,0.277686,0.060271,NB,0.272943,0.0645226,,,,,G2M
NB_42,0.288645,0.0572325,NB,0.276226,0.0682183,,,,,G2M
NB_26,0.277849,0.0556919,NB,0.270812,0.0621543,,,,,G2M
NB_96,0.24636,0.0488677,NB,0.252614,0.0427728,,,,,G1
NB_78,0.250801,0.0456315,NB,0.253163,0.0433382,,,,,S
NB_11,0.232972,0.04441,NB,0.243694,0.033717,,,,,G2M
NB_93,0.261656,0.0442446,NB,0.257701,0.0480519,,,,,G2M
NB_66,0.248202,0.0435253,NB,0.250828,0.0409417,,,,,G1
NB_91,0.268689,0.0429196,NB,0.260351,0.0508402,,,,,G1
NB_68,0.240143,0.0426657,NB,0.246404,0.0364449,,,,,S
NB_72,0.280615,0.0381739,NB,0.263502,0.0541939,,,,,G2M
NB_50,0.231076,0.027271,NB,0.234085,0.0241946,,,,,G2M
NB_64,0.229274,0.0247901,NB,0.231915,0.022073,,,,,G2M
NB_7,0.252588,0.0243413,NB,0.243494,0.0335176,,,,,G2M
NB_41,0.226555,0.0194647,NB,0.227851,0.0181237,,,,,G2M
NB_84,0.215789,0.0180728,NB,0.221545,0.0120564,,,,,G1
NB_98,0.220053,0.016661,NB,0.223068,0.013515,,,,,S
NB_39,0.208119,0.00906448,NB,0.212981,0.00391503,,,,,G1
NB_73,0.224444,0.00826647,NB,0.221169,0.0116965,,,,,G1
NB_99,0.222092,0.00688025,NB,0.219255,0.00986922,,,,,G2M
NB_85,0.200248,0.00455413,NB,0.206534,-0.00215605,,,,,G2M
NB_82,0.192348,0.00355324,NB,0.201799,-0.00658897,,,,,G2M
NB_45,0.23879,0.00302417,NB,0.22598,0.0163157,,,,,G2M
NB_61,0.197865,-0.000597445,NB,0.202688,-0.00575782,,,,,G1
NB_77,0.178064,-0.00531714,NB,0.189666,-0.0178716,,,,,S
NB_62,0.204654,-0.00747795,NB,0.202879,-0.00557945,,,,,G1
NB_21,0.186291,-0.00816496,NB,0.19269,-0.0150686,,,,,G1
NB_48,0.215659,-0.0113495,NB,0.206798,-0.00190772,,,,,G1
NB_36,0.19025,-0.0183592,NB,0.189737,-0.0178057,,,,,S
NB_18,0.177879,-0.019183,NB,0.182648,-0.0243571,,,,,G1
NB_60,0.16868,-0.020345,NB,0.177074,-0.0294883,,,,,G2M
NB_83,0.20712,-0.0257962,NB,0.195089,-0.0128408,,,,,G2M
NB_22,0.182952,-0.0276206,NB,0.181187,-0.0257042,,,,,G2M
NB_56,0.181922,-0.0286554,NB,0.180115,-0.0266918,,,,,S
NB_100,0.180446,-0.0318891,NB,0.177706,-0.0289078,,,,,G2M
NB_87,0.172037,-0.0337265,NB,0.172228,-0.0339347,,,,,G2M
NB_46,0.189191,-0.035867,NB,0.180454,-0.026379,,,,,G2M
NB_74,0.16047,-0.036845,NB,0.164367,-0.0411208,,,,,S
NB_38,0.166693,-0.0379921,NB,0.167194,-0.0385401,,,,,G2M
NB_71,0.179156,-0.0380883,NB,0.173924,-0.0323803,,,,,G2M
NB_8,0.147737,-0.0413752,NB,0.15516,-0.0495102,,,,,G1
NB_20,0.169173,-0.0451093,NB,0.165004,-0.0405396,,,,,G2M
NB_37,0.161422,-0.0549727,NB,0.155863,-0.0488699,,,,,G2M
NB_16,0.133758,-0.0638241,NB,0.136389,-0.0666982,,,,,G2M
NB_76,0.188184,-0.0653882,NB,0.165278,-0.0402892,,,,,G2M
NB_34,0.119317,-0.0657837,NB,0.127747,-0.0747318,,,,,S
NB_9,0.129206,-0.069974,NB,0.130894,-0.0717938,,,,,G2M
NB_63,0.108138,-0.0795558,NB,0.115074,-0.0867411,,,,,G2M
NB_51,0.100781,-0.0845806,NB,0.108797,-0.0928092,,,,,S
NB_57,0.116399,-0.0849383,NB,0.116664,-0.0852173,,,,,G1
NB_10,0.0993751,-0.0867485,NB,0.10702,-0.0945422,,,,,S
NB_19,0.110327,-0.0918204,NB,0.110078,-0.0915637,,,,,G2M
NB_79,0.111217,-0.0936986,NB,0.109596,-0.0920319,,,,,G1
NB_17,0.102228,-0.0965275,NB,0.103592,-0.0979061,,,,,G2M
NB_3,0.0887765,-0.0975466,NB,0.0963563,-0.105094,,,,,G1
NB_102,0.117196,-0.102533,NB,0.108237,-0.0933544,,,,,G1
NB_40,0.0881212,-0.11085,NB,0.0894167,-0.112102,,,,,G2M
NB_2,0.048249,-0.150002,NB,0.0511624,-0.152643,,,,,S
NB_1,0.0326547,-0.178732,NB,0.0299625,-0.176398,,,,,G1
OLaNSC_8,0.103456,-0.0971804,OLaNSC,0.103886,-0.097617,,,,,G2M
OLaNSC_2,0.0422433,-0.115973,OLaNSC,0.065225,-0.137373,,,,,S
OLaNSC_9,0.0777577,-0.136819,OLaNSC,0.0713845,-0.130816,,,,,S
OLaNSC_3,0.083688,-0.137342,OLaNSC,0.0739499,-0.12811,,,,,S
OLaNSC_10,0.0706612,-0.137972,OLaNSC,0.0674642,-0.13498,,,,,S
OLaNSC_12,0.0426992,-0.150857,OLaNSC,0.0482601,-0.155847,,,,,S
OLaNSC_4,0.0572817,-0.156926,OLaNSC,0.0518009,-0.151941,,,,,S
OLaNSC_13,0.0347114,-0.161849,OLaNSC,0.0392561,-0.165884,,,,,S
OLaNSC_6,0.0408623,-0.1754,OLaNSC,0.0352233,-0.170427,,,,,G1
OLaNSC_11,0.00577306,-0.19645,OLaNSC,,-0.19978,,,,,G1
OLaNSC_1,-0.00130846,-0.227419,OLaNSC,-0.0086227,-0.221343,-0.0289513,-0.210819,,,G1
OLaNSC_7,0.00433763,-0.229587,OLaNSC,-0.00730112,-0.219771,-0.0287106,-0.210419,,,G1
OLaNSC_5,-0.0486052,-0.308895,OLaNSC,-0.0680287,-0.292882,-0.0689051,-0.303985,,,G1
OLpNSC_3,0.130304,-0.143141,OLpNSC,0.0942352,-0.107225,0.0986808,-0.089047,,,G1
OLpNSC_4,-0.0421471,-0.285949,OLpNSC,,,-0.0644377,-0.281696,,,G1
OLpNSC_2,-0.0502429,-0.29721,OLpNSC,,,-0.0667017,-0.293716,,,G1
OLpNSC_1,-0.0389635,-0.313652,OLpNSC,-0.066462,-0.290981,-0.0693751,-0.305886,,,G1
OLqNSCI_2,-0.08137,-0.340558,OLqNSCI,,,-0.0821251,-0.340195,,,G1
OLqNSCI_5,-0.0748128,-0.345239,OLqNSCI,,,-0.08269,-0.341345,,,G1
OLqNSCI_1,-0.0831342,-0.345972,OLqNSCI,,,-0.0846184,-0.345207,,,G1
OLqNSCI_3,-0.0883834,-0.348502,OLqNSCI,,,-0.0867689,-0.349356,,,G1
OLqNSCI_6,-0.0838707,-0.353097,OLqNSCI,,,-0.0876717,-0.351044,,,G1
OLqNSCI_4,-0.0983674,-0.373282,OLqNSCI,,,-0.0998501,-0.37239,,,G1
OLqNSCII_1,-0.0484076,-0.286551,OLqNSCII,,,-0.064777,-0.28349,,,G1
OLqNSCII_7,-0.0573441,-0.296137,OLqNSCII,,,-0.0667899,-0.294131,,,G1
OLqNSCII_2,-0.0626073,-0.317427,OLqNSCII,,,-0.0717855,-0.314346,,,G1
OLqNSCII_3,-0.0636532,-0.327126,OLqNSCII,,,-0.0745978,-0.322502,,,G1
OLqNSCII_12,-0.145198,-0.330756,OLqNSCII,,,-0.092971,-0.360601,,,G1
OLqNSCII_8,-0.0830221,-0.357889,OLqNSCII,,,-0.0894489,-0.354314,,,G1
OLqNSCII_10,-0.0821409,-0.358795,OLqNSCII,,,-0.0896256,-0.354632,,,G1
OLqNSCII_9,-0.091132,-0.359835,OLqNSCII,,,-0.0921936,-0.359235,,,G1
OLqNSCII_11,-0.145024,-0.361151,OLqNSCII,,,-0.106898,-0.384112,,,G1
OLqNSCII_4,-0.0833216,-0.370669,OLqNSCII,,,-0.0948767,-0.363917,,,G1
OLqNSCII_5,-0.0802422,-0.38275,OLqNSCII,,,-0.0992859,-0.37145,,,G1
OLqNSCII_6,-0.131504,-0.426631,OLqNSCII,,,-0.132238,-0.426188,,,G1
OLTAP_6,0.336073,0.138503,OLTAP,0.332204,0.141104,,,,,G2M
OLTAP_8,0.315553,0.12021,OLTAP,0.316985,0.119187,,,,,G2M
OLTAP_4,0.214746,0.0264222,OLTAP,0.225191,0.0155561,,,,,S
OLTAP_10,0.208928,0.00522494,OLTAP,0.211491,0.00250725,,,,,S
OLTAP_7,0.210701,0.00114196,OLTAP,0.210391,0.00147106,,,,,G2M
OLTAP_11,0.174455,-0.0209617,OLTAP,0.179904,-0.0268852,,,,,S
OLTAP_5,0.17789,-0.0281327,OLTAP,0.178192,-0.0284608,,,,,S
OLTAP_2,0.156951,-0.0293667,OLTAP,0.166175,-0.0394708,,,,,S
OLTAP_3,0.152808,-0.037232,OLTAP,0.159987,-0.0451134,,,,,S
OLTAP_9,0.129521,-0.131788,OLTAP,0.0997514,-0.101707,,,,,S
OLTAP_1,0.0638354,-0.141887,OLTAP,0.0623201,-0.140494,,,,,G2M
OPC_5,0.119421,-0.0746386,OPC,,,0.120198,-0.0764679,0.119421,-0.0746386,G2M
OPC_8,0.00985647,-0.138274,OPC,,,0.0151995,-0.144538,0.00985647,-0.138274,G1
OPC_10,-0.0272807,-0.192688,OPC,,,-0.0206872,-0.196485,,,G1
OPC_9,-0.0235685,-0.221555,OPC,,,-0.0322633,-0.216172,-0.0235685,-0.221555,G1
OPC_4,-0.0290839,-0.222261,OPC,,,-0.0340991,-0.219011,-0.0290839,-0.222261,G1
OPC_7,-0.0661128,-0.234518,OPC,,,-0.0513104,-0.24418,-0.0661128,-0.234518,G1
OPC_6,-0.0500503,-0.235695,OPC,,,-0.0471101,-0.237761,-0.0500503,-0.235695,G1
OPC_1,-0.0303459,-0.238383,OPC,,,-0.0419376,-0.230396,,,G1
OPC_11,-0.0948697,-0.240078,OPC,,,-0.0571844,-0.255216,,,G1
OPC_2,-0.0364488,-0.254201,OPC,,,-0.0517803,-0.244943,,,G1
OPC_3,-0.0607958,-0.310768,OPC,,,-0.069978,-0.308151,,,G1
