




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	OLqNSCI (Mus musculus )OLqNSCII (Mus musculus )OLpNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	OLqNSCI (348)	OLqNSCI (expected)	OLqNSCI (over/under)	OLqNSCI (fold Enrichment)	OLqNSCI (raw P-value)	OLqNSCI (FDR)	OLqNSCII (188)	OLqNSCII (expected)	OLqNSCII (over/under)	OLqNSCII (fold Enrichment)	OLqNSCII (raw P-value)	OLqNSCII (FDR)	OLpNSC (526)	OLpNSC (expected)	OLpNSC (over/under)	OLpNSC (fold Enrichment)	OLpNSC (raw P-value)	OLpNSC (FDR)
membrane (GO:0016020)	1555	39	24.27	+	1.61	4.09E-03	2.03E-01	20	13.11	+	1.53	6.04E-02	2.08E00	30	36.69	-	.82	2.97E-01	1.19E00
membrane part (GO:0044425)	1534	38	23.94	+	1.59	5.46E-03	2.44E-01	20	12.93	+	1.55	5.82E-02	2.17E00	29	36.19	-	.80	2.56E-01	1.26E00
intrinsic component of membrane (GO:0031224)	1091	34	17.03	+	2.00	1.63E-04	2.43E-02	19	9.20	+	2.07	3.25E-03	1.46E00	24	25.74	-	.93	8.38E-01	1.84E00
integral component of membrane (GO:0016021)	1079	33	16.84	+	1.96	3.69E-04	3.31E-02	18	9.10	+	1.98	5.83E-03	1.31E00	24	25.46	-	.94	9.18E-01	2.00E00
protein-containing complex (GO:0032991)	1639	29	25.58	+	1.13	4.69E-01	1.72E00	15	13.82	+	1.09	6.75E-01	3.08E00	36	38.67	-	.93	7.35E-01	1.66E00
vacuole (GO:0005773)	1062	25	16.58	+	1.51	4.25E-02	6.80E-01	12	8.95	+	1.34	2.99E-01	2.35E00	42	25.05	+	1.68	1.86E-03	2.08E-01
intracellular membrane-bounded organelle (GO:0043231)	2369	23	36.98	-	.62	1.36E-02	4.07E-01	15	19.98	-	.75	2.84E-01	2.31E00	62	55.89	+	1.11	3.91E-01	1.28E00
intracellular organelle (GO:0043229)	2375	23	37.07	-	.62	1.37E-02	3.82E-01	15	20.03	-	.75	2.84E-01	2.27E00	62	56.03	+	1.11	3.92E-01	1.27E00
integral component of plasma membrane (GO:0005887)	848	22	13.24	+	1.66	2.31E-02	4.93E-01	15	7.15	+	2.10	6.72E-03	1.00E00	15	20.01	-	.75	2.98E-01	1.18E00
nucleus (GO:0005634)	2223	21	34.70	-	.61	1.42E-02	3.54E-01	14	18.74	-	.75	3.26E-01	2.39E00	55	52.44	+	1.05	7.13E-01	1.63E00
extracellular region (GO:0005576)	1347	21	21.02	-	1.00	1.00E00	2.75E00	13	11.36	+	1.14	5.41E-01	2.82E00	24	31.78	-	.76	1.93E-01	1.23E00
extracellular region part (GO:0044421)	1260	21	19.67	+	1.07	7.25E-01	2.07E00	12	10.62	+	1.13	6.33E-01	3.08E00	20	29.73	-	.67	6.85E-02	8.53E-01
extracellular space (GO:0005615)	1196	19	18.67	+	1.02	9.04E-01	2.50E00	11	10.08	+	1.09	7.44E-01	3.17E00	18	28.22	-	.64	4.90E-02	7.84E-01
endomembrane system (GO:0012505)	659	16	10.29	+	1.56	7.94E-02	9.88E-01	6	5.56	+	1.08	8.27E-01	3.37E00	26	15.55	+	1.67	1.32E-02	5.93E-01
membrane-bounded organelle (GO:0043227)	604	13	9.43	+	1.38	2.42E-01	1.28E00	5	5.09	-	.98	1.00E00	3.90E00	25	14.25	+	1.75	9.53E-03	7.12E-01
cytosol (GO:0005829)	755	13	11.78	+	1.10	6.55E-01	1.94E00	5	6.37	-	.79	8.38E-01	3.38E00	10	17.81	-	.56	6.49E-02	8.31E-01
plasma membrane region (GO:0098590)	413	12	6.45	+	1.86	4.25E-02	6.56E-01	7	3.48	+	2.01	9.20E-02	1.79E00	8	9.74	-	.82	7.42E-01	1.67E00
plasma membrane part (GO:0044459)	504	12	7.87	+	1.53	1.44E-01	1.06E00	8	4.25	+	1.88	7.95E-02	1.78E00	10	11.89	-	.84	7.65E-01	1.71E00
neuron part (GO:0097458)	382	12	5.96	+	2.01	2.16E-02	4.84E-01	6	3.22	+	1.86	1.45E-01	2.10E00	8	9.01	-	.89	8.66E-01	1.89E00
intracellular non-membrane-bounded organelle (GO:0043232)	1125	12	17.56	-	.68	2.15E-01	1.23E00	8	9.49	-	.84	7.39E-01	3.21E00	31	26.54	+	1.17	3.65E-01	1.26E00
non-membrane-bounded organelle (GO:0043228)	1125	12	17.56	-	.68	2.15E-01	1.22E00	8	9.49	-	.84	7.39E-01	3.18E00	31	26.54	+	1.17	3.65E-01	1.25E00
neuron projection (GO:0043005)	193	11	3.01	+	3.65	3.36E-04	3.76E-02	5	1.63	+	3.07	2.57E-02	1.64E00	3	4.55	-	.66	6.34E-01	1.54E00
receptor complex (GO:0043235)	175	10	2.73	+	3.66	6.08E-04	3.89E-02	4	1.48	+	2.71	6.37E-02	1.90E00	7	4.13	+	1.70	2.04E-01	1.23E00
membrane protein complex (GO:0098796)	328	9	5.12	+	1.76	1.10E-01	9.88E-01	6	2.77	+	2.17	6.22E-02	1.99E00	12	7.74	+	1.55	1.41E-01	1.21E00
organelle subcompartment (GO:0031984)	255	8	3.98	+	2.01	6.78E-02	9.50E-01	2	2.15	-	.93	1.00E00	1.08E00	9	6.02	+	1.50	2.13E-01	1.23E00
catalytic complex (GO:1902494)	328	8	5.12	+	1.56	1.81E-01	1.14E00	5	2.77	+	1.81	2.07E-01	2.32E00	5	7.74	-	.65	4.59E-01	1.41E00
cytoskeleton (GO:0005856)	552	7	8.62	-	.81	7.28E-01	2.06E00	3	4.65	-	.64	6.35E-01	3.06E00	16	13.02	+	1.23	3.94E-01	1.27E00
endoplasmic reticulum (GO:0005783)	241	7	3.76	+	1.86	1.10E-01	1.01E00	1	2.03	-	.49	7.27E-01	3.19E00	5	5.69	-	.88	1.00E00	2.16E00
extracellular matrix (GO:0031012)	152	7	2.37	+	2.95	1.17E-02	4.02E-01	5	1.28	+	3.90	1.04E-02	1.17E00	5	3.59	+	1.39	4.16E-01	1.29E00
nuclear part (GO:0044428)	853	6	13.31	-	.45	4.57E-02	6.83E-01	3	7.19	-	.42	1.26E-01	2.01E00	21	20.12	+	1.04	8.18E-01	1.80E00
microtubule cytoskeleton (GO:0015630)	326	5	5.09	-	.98	1.00E00	2.20E00	3	2.75	+	1.09	7.57E-01	3.20E00	10	7.69	+	1.30	3.60E-01	1.26E00
vesicle (GO:0031982)	203	5	3.17	+	1.58	2.56E-01	1.26E00	2	1.71	+	1.17	6.90E-01	3.12E00	11	4.79	+	2.30	1.78E-02	6.13E-01
nuclear lumen (GO:0031981)	562	5	8.77	-	.57	2.95E-01	1.36E00	2	4.74	-	.42	3.41E-01	2.46E00	8	13.26	-	.60	2.00E-01	1.23E00
plasma membrane protein complex (GO:0098797)	210	5	3.28	+	1.53	3.91E-01	1.59E00	3	1.77	+	1.69	2.64E-01	2.27E00	3	4.95	-	.61	4.96E-01	1.47E00
axon (GO:0030424)	85	5	1.33	+	3.77	1.26E-02	4.04E-01	2	.72	+	2.79	1.65E-01	2.17E00	2	2.01	-	1.00	1.00E00	2.15E00
endosome (GO:0005768)	157	5	2.45	+	2.04	1.05E-01	1.02E00	1	1.32	-	.76	1.00E00	1.03E00	6	3.70	+	1.62	2.83E-01	1.21E00
transferase complex (GO:1990234)	106	4	1.65	+	2.42	8.98E-02	1.06E00	2	.89	+	2.24	2.28E-01	2.27E00	2	2.50	-	.80	1.00E00	2.03E00
Golgi subcompartment (GO:0098791)	141	4	2.20	+	1.82	2.90E-01	1.35E00	1	1.19	-	.84	1.00E00	1.00E00	5	3.33	+	1.50	3.94E-01	1.26E00
endoplasmic reticulum subcompartment (GO:0098827)	124	4	1.94	+	2.07	1.35E-01	1.01E00	1	1.05	-	.96	1.00E00	1.02E00	4	2.93	+	1.37	5.44E-01	1.52E00
transmembrane transporter complex (GO:1902495)	114	4	1.78	+	2.25	1.09E-01	1.02E00	3	.96	+	3.12	7.51E-02	1.77E00	1	2.69	-	.37	5.27E-01	1.50E00
Golgi apparatus (GO:0005794)	191	4	2.98	+	1.34	5.48E-01	1.82E00	3	1.61	+	1.86	2.22E-01	2.31E00	11	4.51	+	2.44	7.42E-03	6.65E-01
endoplasmic reticulum membrane (GO:0005789)	120	4	1.87	+	2.14	1.24E-01	9.77E-01	1	1.01	-	.99	1.00E00	1.04E00	4	2.83	+	1.41	3.76E-01	1.26E00
ribonucleoprotein complex (GO:1990904)	233	4	3.64	+	1.10	7.87E-01	2.19E00	3	1.96	+	1.53	4.52E-01	2.57E00	8	5.50	+	1.46	2.76E-01	1.24E00
cell surface (GO:0009986)	447	4	6.98	-	.57	3.33E-01	1.46E00	1	3.77	-	.27	1.92E-01	2.26E00	7	10.55	-	.66	3.43E-01	1.24E00
mitochondrion (GO:0005739)	310	4	4.84	-	.83	1.00E00	1.07E00	0	2.61	-	 < 0.01	1.19E-01	2.14E00	14	7.31	+	1.91	2.31E-02	5.76E-01
nucleolus (GO:0005730)	140	4	2.19	+	1.83	2.88E-01	1.36E00	1	1.18	-	.85	1.00E00	1.02E00	3	3.30	-	.91	1.00E00	2.09E00
actin cytoskeleton (GO:0015629)	214	3	3.34	-	.90	1.00E00	1.03E00	2	1.80	+	1.11	7.03E-01	3.15E00	7	5.05	+	1.39	3.62E-01	1.26E00
integral component of endoplasmic reticulum membrane (GO:0030176)	58	3	.91	+	3.31	6.75E-02	9.75E-01	1	.49	+	2.04	3.91E-01	2.43E00	4	1.37	+	2.92	5.47E-02	8.44E-01
chromosomal part (GO:0044427)	497	3	7.76	-	.39	9.58E-02	1.05E00	3	4.19	-	.72	8.03E-01	3.36E00	15	11.73	+	1.28	3.68E-01	1.25E00
recycling endosome (GO:0055037)	23	3	.36	+	8.36	7.20E-03	2.93E-01	0	.19	-	 < 0.01	1.00E00	1.36E00	0	.54	-	 < 0.01	1.00E00	1.35E00
cell cortex (GO:0005938)	67	3	1.05	+	2.87	9.30E-02	1.04E00	1	.56	+	1.77	4.36E-01	2.53E00	1	1.58	-	.63	1.00E00	2.14E00
somatodendritic compartment (GO:0036477)	143	3	2.23	+	1.34	4.93E-01	1.77E00	2	1.21	+	1.66	3.42E-01	2.43E00	2	3.37	-	.59	7.77E-01	1.72E00
microtubule (GO:0005874)	156	3	2.43	+	1.23	7.39E-01	2.07E00	2	1.32	+	1.52	3.82E-01	2.41E00	6	3.68	+	1.63	2.81E-01	1.21E00
cation channel complex (GO:0034703)	95	3	1.48	+	2.02	1.91E-01	1.16E00	2	.80	+	2.50	1.95E-01	2.24E00	0	2.24	-	 < 0.01	2.85E-01	1.20E00
ion channel complex (GO:0034702)	109	3	1.70	+	1.76	2.48E-01	1.26E00	2	.92	+	2.18	2.38E-01	2.22E00	0	2.57	-	 < 0.01	1.86E-01	1.22E00
trans-Golgi network (GO:0005802)	66	3	1.03	+	2.91	9.00E-02	1.03E00	1	.56	+	1.80	4.31E-01	2.54E00	1	1.56	-	.64	1.00E00	2.10E00
nuclear chromatin (GO:0000790)	420	3	6.56	-	.46	2.27E-01	1.24E00	3	3.54	-	.85	1.00E00	3.96E00	15	9.91	+	1.51	1.07E-01	1.14E00
chromatin (GO:0000785)	450	3	7.02	-	.43	1.72E-01	1.13E00	3	3.79	-	.79	1.00E00	3.86E00	15	10.62	+	1.41	2.08E-01	1.22E00
chromosome (GO:0005694)	515	3	8.04	-	.37	7.10E-02	9.09E-01	3	4.34	-	.69	8.04E-01	3.34E00	15	12.15	+	1.23	3.79E-01	1.26E00
preribosome (GO:0030684)	76	3	1.19	+	2.53	1.22E-01	9.75E-01	1	.64	+	1.56	4.77E-01	2.60E00	1	1.79	-	.56	1.00E00	2.04E00
transcription factor complex (GO:0005667)	60	2	.94	+	2.14	2.47E-01	1.27E00	0	.51	-	 < 0.01	1.00E00	3.56E00	4	1.42	+	2.83	6.01E-02	8.16E-01
external side of plasma membrane (GO:0009897)	346	2	5.40	-	.37	1.85E-01	1.15E00	0	2.92	-	 < 0.01	1.25E-01	2.07E00	4	8.16	-	.49	2.04E-01	1.22E00
basolateral plasma membrane (GO:0016323)	19	2	.30	+	6.74	4.08E-02	7.03E-01	1	.16	+	6.24	1.55E-01	2.10E00	1	.45	+	2.23	3.73E-01	1.26E00
neuronal cell body (GO:0043025)	42	2	.66	+	3.05	1.47E-01	1.06E00	0	.35	-	 < 0.01	1.00E00	1.91E00	0	.99	-	 < 0.01	1.00E00	1.88E00
nucleolar part (GO:0044452)	59	2	.92	+	2.17	2.41E-01	1.29E00	1	.50	+	2.01	3.96E-01	2.40E00	0	1.39	-	 < 0.01	6.48E-01	1.52E00
microtubule organizing center part (GO:0044450)	119	2	1.86	+	1.08	7.10E-01	2.07E00	0	1.00	-	 < 0.01	6.30E-01	3.21E00	0	2.81	-	 < 0.01	1.19E-01	1.11E00
nuclear envelope (GO:0005635)	80	2	1.25	+	1.60	3.60E-01	1.52E00	1	.67	+	1.48	4.94E-01	2.67E00	0	1.89	-	 < 0.01	2.68E-01	1.24E00
cell cortex part (GO:0044448)	34	2	.53	+	3.77	1.06E-01	1.01E00	0	.29	-	 < 0.01	1.00E00	1.19E00	0	.80	-	 < 0.01	1.00E00	1.22E00
leaflet of membrane bilayer (GO:0097478)	406	2	6.34	-	.32	1.00E-01	1.04E00	1	3.42	-	.29	2.70E-01	2.28E00	5	9.58	-	.52	1.81E-01	1.25E00
t-UTP complex (GO:0034455)	50	2	.78	+	2.56	1.90E-01	1.17E00	1	.42	+	2.37	3.49E-01	2.37E00	0	1.18	-	 < 0.01	6.32E-01	1.56E00
leading edge membrane (GO:0031256)	19	2	.30	+	6.74	4.08E-02	6.77E-01	0	.16	-	 < 0.01	1.00E00	1.18E00	0	.45	-	 < 0.01	1.00E00	1.04E00
cell projection membrane (GO:0031253)	26	2	.41	+	4.93	6.85E-02	9.30E-01	0	.22	-	 < 0.01	1.00E00	1.45E00	0	.61	-	 < 0.01	1.00E00	1.53E00
cell leading edge (GO:0031252)	37	2	.58	+	3.46	1.21E-01	1.02E00	0	.31	-	 < 0.01	1.00E00	2.56E00	0	.87	-	 < 0.01	1.00E00	1.72E00
cell projection (GO:0042995)	51	2	.80	+	2.51	1.96E-01	1.14E00	0	.43	-	 < 0.01	1.00E00	1.52E00	0	1.20	-	 < 0.01	6.33E-01	1.54E00
ER membrane protein complex (GO:0072546)	10	2	.16	+	12.81	1.40E-02	3.70E-01	0	.08	-	 < 0.01	1.00E00	2.07E00	2	.24	+	8.48	3.00E-02	6.12E-01
peptidase complex (GO:1905368)	7	2	.11	+	18.31	7.89E-03	2.95E-01	1	.06	+	16.94	6.50E-02	1.82E00	1	.17	+	6.06	1.70E-01	1.23E00
postsynapse (GO:0098794)	71	2	1.11	+	1.80	3.09E-01	1.41E00	2	.60	+	3.34	1.25E-01	2.15E00	2	1.68	+	1.19	6.86E-01	1.60E00
sarcoplasmic reticulum (GO:0016529)	11	2	.17	+	11.65	1.64E-02	3.87E-01	0	.09	-	 < 0.01	1.00E00	2.30E00	0	.26	-	 < 0.01	1.00E00	1.32E00
sarcoplasm (GO:0016528)	15	2	.23	+	8.54	2.75E-02	5.13E-01	0	.13	-	 < 0.01	1.00E00	3.37E00	0	.35	-	 < 0.01	1.00E00	1.47E00
exocyst (GO:0000145)	14	2	.22	+	9.15	2.45E-02	4.99E-01	0	.12	-	 < 0.01	1.00E00	1.04E00	0	.33	-	 < 0.01	1.00E00	1.04E00
cell junction (GO:0030054)	120	2	1.87	+	1.07	7.12E-01	2.06E00	1	1.01	-	.99	1.00E00	1.04E00	7	2.83	+	2.47	2.79E-02	6.25E-01
plasma membrane bounded cell projection part (GO:0120038)	26	2	.41	+	4.93	6.85E-02	9.03E-01	0	.22	-	 < 0.01	1.00E00	1.44E00	0	.61	-	 < 0.01	1.00E00	1.52E00
plasma membrane bounded cell projection (GO:0120025)	37	2	.58	+	3.46	1.21E-01	1.00E00	0	.31	-	 < 0.01	1.00E00	2.55E00	0	.87	-	 < 0.01	1.00E00	1.71E00
dendrite (GO:0030425)	120	2	1.87	+	1.07	7.12E-01	2.04E00	2	1.01	+	1.98	2.72E-01	2.25E00	2	2.83	-	.71	1.00E00	2.02E00
intracellular vesicle (GO:0097708)	156	2	2.43	-	.82	1.00E00	1.23E00	0	1.32	-	 < 0.01	6.44E-01	3.01E00	7	3.68	+	1.90	1.06E-01	1.19E00
microtubule organizing center (GO:0005815)	141	2	2.20	-	.91	1.00E00	1.81E00	1	1.19	-	.84	1.00E00	1.00E00	1	3.33	-	.30	3.88E-01	1.28E00
centriole (GO:0005814)	117	2	1.83	+	1.10	7.06E-01	2.07E00	0	.99	-	 < 0.01	1.00E00	1.01E00	0	2.76	-	 < 0.01	1.19E-01	1.13E00
centrosome (GO:0005813)	101	2	1.58	+	1.27	6.74E-01	1.99E00	0	.85	-	 < 0.01	1.00E00	1.08E00	0	2.38	-	 < 0.01	1.79E-01	1.25E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	33	2	.52	+	3.88	1.01E-01	1.02E00	2	.28	+	7.19	3.45E-02	1.93E00	0	.78	-	 < 0.01	1.00E00	1.70E00
cytoplasmic vesicle (GO:0031410)	156	2	2.43	-	.82	1.00E00	1.23E00	0	1.32	-	 < 0.01	6.44E-01	2.98E00	7	3.68	+	1.90	1.06E-01	1.16E00
small-subunit processome (GO:0032040)	35	2	.55	+	3.66	1.10E-01	9.70E-01	1	.30	+	3.39	2.61E-01	2.29E00	0	.83	-	 < 0.01	1.00E00	1.54E00
extrinsic component of membrane (GO:0019898)	45	2	.70	+	2.85	1.63E-01	1.10E00	0	.38	-	 < 0.01	1.00E00	1.78E00	0	1.06	-	 < 0.01	6.28E-01	1.58E00
postsynaptic membrane (GO:0045211)	57	2	.89	+	2.25	2.30E-01	1.24E00	2	.48	+	4.16	8.73E-02	1.86E00	1	1.34	-	.74	1.00E00	2.12E00
bounding membrane of organelle (GO:0098588)	53	1	.83	+	1.21	5.67E-01	1.87E00	0	.45	-	 < 0.01	1.00E00	2.70E00	3	1.25	+	2.40	1.39E-01	1.22E00
cytoplasmic vesicle membrane (GO:0030659)	13	1	.20	+	4.93	1.95E-01	1.16E00	0	.11	-	 < 0.01	1.00E00	1.77E00	0	.31	-	 < 0.01	1.00E00	1.69E00
nucleoplasm (GO:0005654)	309	1	4.82	-	.21	9.81E-02	1.05E00	1	2.61	-	.38	5.27E-01	2.78E00	5	7.29	-	.69	5.67E-01	1.53E00
nuclear pore (GO:0005643)	49	1	.76	+	1.31	5.39E-01	1.84E00	0	.41	-	 < 0.01	1.00E00	3.83E00	0	1.16	-	 < 0.01	6.31E-01	1.57E00
intraciliary transport particle (GO:0030990)	156	1	2.43	-	.41	7.37E-01	2.08E00	0	1.32	-	 < 0.01	6.44E-01	3.04E00	2	3.68	-	.54	5.92E-01	1.57E00
cytosolic part (GO:0044445)	164	1	2.56	-	.39	5.25E-01	1.82E00	1	1.38	-	.72	1.00E00	1.02E00	2	3.87	-	.52	5.97E-01	1.57E00
histone methyltransferase complex (GO:0035097)	44	1	.69	+	1.46	5.02E-01	1.79E00	0	.37	-	 < 0.01	1.00E00	2.15E00	2	1.04	+	1.93	2.87E-01	1.20E00
nuclear transcription factor complex (GO:0044798)	74	1	1.16	-	.87	1.00E00	2.16E00	0	.62	-	 < 0.01	1.00E00	2.75E00	3	1.75	+	1.72	2.62E-01	1.22E00
sarcoplasmic reticulum membrane (GO:0033017)	6	1	.09	+	10.68	1.03E-01	1.02E00	0	.05	-	 < 0.01	1.00E00	3.11E00	0	.14	-	 < 0.01	1.00E00	1.83E00
cytoplasmic vesicle part (GO:0044433)	25	1	.39	+	2.56	3.32E-01	1.47E00	0	.21	-	 < 0.01	1.00E00	1.31E00	0	.59	-	 < 0.01	1.00E00	1.44E00
mitochondrial part (GO:0044429)	88	1	1.37	-	.73	1.00E00	1.35E00	0	.74	-	 < 0.01	1.00E00	1.13E00	2	2.08	-	.96	1.00E00	2.08E00
phosphatidylinositol 3-kinase complex (GO:0005942)	28	1	.44	+	2.29	3.62E-01	1.52E00	0	.24	-	 < 0.01	1.00E00	1.09E00	0	.66	-	 < 0.01	1.00E00	1.00E00
secretory granule (GO:0030141)	44	1	.69	+	1.46	5.02E-01	1.77E00	0	.37	-	 < 0.01	1.00E00	2.13E00	2	1.04	+	1.93	2.87E-01	1.19E00
voltage-gated calcium channel complex (GO:0005891)	13	1	.20	+	4.93	1.95E-01	1.15E00	0	.11	-	 < 0.01	1.00E00	1.75E00	0	.31	-	 < 0.01	1.00E00	1.68E00
coated vesicle (GO:0030135)	66	1	1.03	-	.97	1.00E00	2.73E00	0	.56	-	 < 0.01	1.00E00	1.62E00	3	1.56	+	1.93	2.13E-01	1.24E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	41	1	.64	+	1.56	4.79E-01	1.74E00	0	.35	-	 < 0.01	1.00E00	1.62E00	2	.97	+	2.07	2.61E-01	1.27E00
ionotropic glutamate receptor complex (GO:0008328)	31	1	.48	+	2.07	3.91E-01	1.61E00	1	.26	+	3.83	2.36E-01	2.25E00	0	.73	-	 < 0.01	1.00E00	1.67E00
organelle outer membrane (GO:0031968)	49	1	.76	+	1.31	5.39E-01	1.83E00	1	.41	+	2.42	3.43E-01	2.37E00	2	1.16	+	1.73	3.29E-01	1.20E00
organelle envelope (GO:0031967)	165	1	2.58	-	.39	5.26E-01	1.81E00	1	1.39	-	.72	1.00E00	1.01E00	5	3.89	+	1.28	6.01E-01	1.57E00
cilium (GO:0005929)	123	1	1.92	-	.52	1.00E00	1.56E00	0	1.04	-	 < 0.01	6.30E-01	3.13E00	2	2.90	-	.69	1.00E00	2.06E00
nuclear membrane (GO:0031965)	10	1	.16	+	6.41	1.57E-01	1.11E00	1	.08	+	11.86	8.82E-02	1.80E00	0	.24	-	 < 0.01	1.00E00	1.29E00
SCAR complex (GO:0031209)	5	1	.08	+	12.81	8.87E-02	1.07E00	0	.04	-	 < 0.01	1.00E00	1.69E00	0	.12	-	 < 0.01	1.00E00	1.16E00
actin filament (GO:0005884)	58	1	.91	+	1.10	5.99E-01	1.92E00	1	.49	+	2.04	3.91E-01	2.40E00	2	1.37	+	1.46	4.04E-01	1.28E00
cytoplasmic microtubule (GO:0005881)	10	1	.16	+	6.41	1.57E-01	1.10E00	0	.08	-	 < 0.01	1.00E00	2.06E00	1	.24	+	4.24	2.26E-01	1.27E00
serine/threonine protein kinase complex (GO:1902554)	15	1	.23	+	4.27	2.20E-01	1.23E00	1	.13	+	7.91	1.26E-01	1.94E00	0	.35	-	 < 0.01	1.00E00	1.48E00
cell-cell adherens junction (GO:0005913)	42	1	.66	+	1.53	4.87E-01	1.76E00	1	.35	+	2.82	3.03E-01	2.34E00	4	.99	+	4.04	2.12E-02	5.94E-01
cell-cell junction (GO:0005911)	69	1	1.08	-	.93	1.00E00	1.33E00	1	.58	+	1.72	4.45E-01	2.56E00	5	1.63	+	3.07	2.80E-02	5.98E-01
microtubule associated complex (GO:0005875)	59	1	.92	+	1.09	6.06E-01	1.92E00	1	.50	+	2.01	3.96E-01	2.37E00	4	1.39	+	2.87	5.73E-02	8.03E-01
microbody (GO:0042579)	32	1	.50	+	2.00	4.00E-01	1.62E00	0	.27	-	 < 0.01	1.00E00	1.03E00	2	.75	+	2.65	1.84E-01	1.25E00
oxidoreductase complex (GO:1990204)	18	1	.28	+	3.56	2.55E-01	1.28E00	0	.15	-	 < 0.01	1.00E00	1.26E00	0	.42	-	 < 0.01	1.00E00	1.19E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	50	1	.78	+	1.28	5.46E-01	1.84E00	1	.42	+	2.37	3.49E-01	2.33E00	0	1.18	-	 < 0.01	6.32E-01	1.56E00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	8	1	.12	+	8.01	1.30E-01	1.01E00	1	.07	+	14.82	7.28E-02	1.81E00	0	.19	-	 < 0.01	1.00E00	1.62E00
mitochondrial protein complex (GO:0098798)	17	1	.27	+	3.77	2.43E-01	1.27E00	0	.14	-	 < 0.01	1.00E00	1.05E00	0	.40	-	 < 0.01	1.00E00	1.05E00
cortical actin cytoskeleton (GO:0030864)	27	1	.42	+	2.37	3.52E-01	1.52E00	0	.23	-	 < 0.01	1.00E00	2.20E00	0	.64	-	 < 0.01	1.00E00	1.18E00
ribonucleoprotein granule (GO:0035770)	50	1	.78	+	1.28	5.46E-01	1.83E00	1	.42	+	2.37	3.49E-01	2.30E00	0	1.18	-	 < 0.01	6.32E-01	1.55E00
organelle membrane (GO:0031090)	56	1	.87	+	1.14	5.87E-01	1.91E00	0	.47	-	 < 0.01	1.00E00	2.73E00	3	1.32	+	2.27	1.55E-01	1.18E00
P-body (GO:0000932)	32	1	.50	+	2.00	4.00E-01	1.60E00	1	.27	+	3.71	2.42E-01	2.21E00	0	.75	-	 < 0.01	1.00E00	1.11E00
