




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	qNSCI (Mus musculus )qNSCII (Mus musculus )pNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	qNSCI (177)	qNSCI (expected)	qNSCI (over/under)	qNSCI (fold Enrichment)	qNSCI (raw P-value)	qNSCI (FDR)	qNSCII (337)	qNSCII (expected)	qNSCII (over/under)	qNSCII (fold Enrichment)	qNSCII (raw P-value)	qNSCII (FDR)	pNSC (52)	pNSC (expected)	pNSC (over/under)	pNSC (fold Enrichment)	pNSC (raw P-value)	pNSC (FDR)
intrinsic component of organelle membrane (GO:0031300)	2	1	.02	+	62.98	2.34E-02	5.25E-01	1	.03	+	33.08	4.40E-02	7.30E-01	0	.00	-	 < 0.01	1.00E00	2.13E00
intrinsic component of mitochondrial membrane (GO:0098573)	2	1	.02	+	62.98	2.34E-02	5.53E-01	1	.03	+	33.08	4.40E-02	7.58E-01	0	.00	-	 < 0.01	1.00E00	2.15E00
cell part (GO:0044464)	5772	59	45.82	+	1.29	3.10E-02	6.60E-01	112	87.24	+	1.28	3.20E-03	8.95E-02	22	13.46	+	1.63	1.05E-02	5.88E-01
organelle inner membrane (GO:0019866)	118	0	.94	-	 < 0.01	1.00E00	1.00E00	2	1.78	+	1.12	7.00E-01	2.34E00	0	.28	-	 < 0.01	1.00E00	1.31E00
microtubule organizing center part (GO:0044450)	119	0	.94	-	 < 0.01	1.00E00	1.00E00	1	1.80	-	.56	1.00E00	2.42E00	0	.28	-	 < 0.01	1.00E00	1.10E00
membrane protein complex (GO:0098796)	328	6	2.60	+	2.30	4.93E-02	1.00E00	7	4.96	+	1.41	3.56E-01	1.75E00	1	.76	+	1.31	5.38E-01	6.89E00
centriole (GO:0005814)	117	0	.93	-	 < 0.01	1.00E00	1.00E00	1	1.77	-	.57	1.00E00	1.84E00	0	.27	-	 < 0.01	1.00E00	1.31E00
cytosolic ribosome (GO:0022626)	117	0	.93	-	 < 0.01	1.00E00	1.01E00	0	1.77	-	 < 0.01	4.25E-01	1.98E00	0	.27	-	 < 0.01	1.00E00	1.31E00
organelle envelope (GO:0031967)	165	1	1.31	-	.76	1.00E00	1.01E00	4	2.49	+	1.60	3.23E-01	1.65E00	0	.38	-	 < 0.01	1.00E00	2.40E00
nuclear chromosome (GO:0000228)	130	1	1.03	-	.97	1.00E00	1.01E00	0	1.96	-	 < 0.01	2.71E-01	1.58E00	0	.30	-	 < 0.01	1.00E00	1.34E00
centrosome (GO:0005813)	101	0	.80	-	 < 0.01	1.00E00	1.01E00	1	1.53	-	.66	1.00E00	1.32E00	0	.24	-	 < 0.01	1.00E00	1.13E00
cilium (GO:0005929)	123	0	.98	-	 < 0.01	1.00E00	1.02E00	0	1.86	-	 < 0.01	2.69E-01	1.59E00	0	.29	-	 < 0.01	1.00E00	2.52E00
nucleolus (GO:0005730)	140	1	1.11	-	.90	1.00E00	1.02E00	0	2.12	-	 < 0.01	2.78E-01	1.60E00	0	.33	-	 < 0.01	1.00E00	2.93E00
Golgi membrane (GO:0000139)	93	0	.74	-	 < 0.01	1.00E00	1.02E00	0	1.41	-	 < 0.01	6.51E-01	2.21E00	0	.22	-	 < 0.01	1.00E00	4.44E00
presynapse (GO:0098793)	107	0	.85	-	 < 0.01	1.00E00	1.02E00	0	1.62	-	 < 0.01	4.14E-01	1.97E00	0	.25	-	 < 0.01	1.00E00	1.51E00
dendrite (GO:0030425)	120	0	.95	-	 < 0.01	1.00E00	1.03E00	2	1.81	+	1.10	7.04E-01	2.32E00	0	.28	-	 < 0.01	1.00E00	2.33E00
cell junction (GO:0030054)	120	0	.95	-	 < 0.01	1.00E00	1.03E00	2	1.81	+	1.10	7.04E-01	2.34E00	0	.28	-	 < 0.01	1.00E00	2.36E00
mitochondrial inner membrane (GO:0005743)	105	0	.83	-	 < 0.01	1.00E00	1.03E00	2	1.59	+	1.26	6.75E-01	2.27E00	0	.24	-	 < 0.01	1.00E00	1.81E00
nucleoplasm part (GO:0044451)	145	1	1.15	-	.87	1.00E00	1.03E00	0	2.19	-	 < 0.01	2.84E-01	1.59E00	0	.34	-	 < 0.01	1.00E00	2.38E00
plasma membrane part (GO:0044459)	504	8	4.00	+	2.00	6.70E-02	1.03E00	13	7.62	+	1.71	6.30E-02	8.55E-01	3	1.18	+	2.55	1.14E-01	3.19E00
nucleus (GO:0005634)	2223	10	17.65	-	.57	5.77E-02	1.03E00	21	33.60	-	.62	2.13E-02	4.34E-01	4	5.18	-	.77	8.16E-01	7.46E00
cytoplasmic vesicle (GO:0031410)	156	1	1.24	-	.81	1.00E00	1.03E00	2	2.36	-	.85	1.00E00	1.56E00	0	.36	-	 < 0.01	1.00E00	4.23E00
ruffle membrane (GO:0032587)	10	1	.08	+	12.60	8.33E-02	1.04E00	1	.15	+	6.62	1.52E-01	1.31E00	0	.02	-	 < 0.01	1.00E00	3.50E00
intracellular vesicle (GO:0097708)	156	1	1.24	-	.81	1.00E00	1.04E00	2	2.36	-	.85	1.00E00	1.57E00	0	.36	-	 < 0.01	1.00E00	4.27E00
extracellular region part (GO:0044421)	1260	16	10.00	+	1.60	6.96E-02	1.04E00	28	19.04	+	1.47	4.33E-02	7.75E-01	11	2.94	+	3.74	1.35E-04	6.03E-02
ribonucleoprotein complex (GO:1990904)	233	1	1.85	-	.54	1.00E00	1.04E00	2	3.52	-	.57	5.91E-01	2.21E00	0	.54	-	 < 0.01	1.00E00	5.74E00
vesicle (GO:0031982)	203	4	1.61	+	2.48	8.14E-02	1.04E00	6	3.07	+	1.96	1.36E-01	1.30E00	2	.47	+	4.22	8.24E-02	2.64E00
ubiquitin ligase complex (GO:0000151)	108	0	.86	-	 < 0.01	1.00E00	1.04E00	0	1.63	-	 < 0.01	4.15E-01	1.96E00	0	.25	-	 < 0.01	1.00E00	1.03E00
endoplasmic reticulum subcompartment (GO:0098827)	124	3	.98	+	3.05	7.91E-02	1.04E00	3	1.87	+	1.60	4.42E-01	1.96E00	0	.29	-	 < 0.01	1.00E00	1.21E00
transmembrane transporter complex (GO:1902495)	114	3	.91	+	3.31	6.52E-02	1.04E00	4	1.72	+	2.32	9.99E-02	1.07E00	0	.27	-	 < 0.01	1.00E00	2.32E00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	92	0	.73	-	 < 0.01	1.00E00	1.04E00	0	1.39	-	 < 0.01	6.50E-01	2.22E00	0	.21	-	 < 0.01	1.00E00	5.89E00
lysosome (GO:0005764)	89	0	.71	-	 < 0.01	1.00E00	1.05E00	4	1.35	+	2.97	5.03E-02	7.77E-01	0	.21	-	 < 0.01	1.00E00	6.22E00
sarcoplasmic reticulum membrane (GO:0033017)	6	1	.05	+	20.99	5.39E-02	1.05E00	0	.09	-	 < 0.01	1.00E00	2.12E00	0	.01	-	 < 0.01	1.00E00	1.57E00
lytic vacuole (GO:0000323)	89	0	.71	-	 < 0.01	1.00E00	1.05E00	4	1.35	+	2.97	5.03E-02	8.05E-01	0	.21	-	 < 0.01	1.00E00	6.31E00
motile cilium (GO:0031514)	32	0	.25	-	 < 0.01	1.00E00	1.05E00	0	.48	-	 < 0.01	1.00E00	1.81E00	0	.07	-	 < 0.01	1.00E00	1.61E00
extracellular region (GO:0005576)	1347	17	10.69	+	1.59	5.64E-02	1.05E00	28	20.36	+	1.38	8.50E-02	1.03E00	11	3.14	+	3.50	2.40E-04	5.38E-02
P-body (GO:0000932)	32	0	.25	-	 < 0.01	1.00E00	1.05E00	0	.48	-	 < 0.01	1.00E00	1.81E00	0	.07	-	 < 0.01	1.00E00	1.62E00
axon part (GO:0033267)	32	0	.25	-	 < 0.01	1.00E00	1.06E00	0	.48	-	 < 0.01	1.00E00	1.82E00	0	.07	-	 < 0.01	1.00E00	1.62E00
spliceosomal complex (GO:0005681)	81	0	.64	-	 < 0.01	1.00E00	1.06E00	1	1.22	-	.82	1.00E00	2.38E00	0	.19	-	 < 0.01	1.00E00	8.00E00
endoplasmic reticulum membrane (GO:0005789)	120	3	.95	+	3.15	7.34E-02	1.06E00	3	1.81	+	1.65	4.35E-01	1.97E00	0	.28	-	 < 0.01	1.00E00	2.35E00
cytosolic small ribosomal subunit (GO:0022627)	39	0	.31	-	 < 0.01	1.00E00	1.06E00	0	.59	-	 < 0.01	1.00E00	1.23E00	0	.09	-	 < 0.01	1.00E00	2.19E00
intracellular part (GO:0044424)	3793	30	30.11	-	1.00	1.00E00	1.06E00	71	57.33	+	1.24	5.75E-02	8.59E-01	17	8.85	+	1.92	5.10E-03	3.81E-01
synaptic vesicle membrane (GO:0030672)	33	0	.26	-	 < 0.01	1.00E00	1.07E00	0	.50	-	 < 0.01	1.00E00	1.16E00	0	.08	-	 < 0.01	1.00E00	1.40E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	33	0	.26	-	 < 0.01	1.00E00	1.07E00	3	.50	+	6.01	1.63E-02	3.83E-01	0	.08	-	 < 0.01	1.00E00	1.41E00
postsynaptic membrane (GO:0045211)	57	2	.45	+	4.42	7.89E-02	1.07E00	4	.86	+	4.64	1.30E-02	3.22E-01	0	.13	-	 < 0.01	1.00E00	4.72E00
integral component of Golgi membrane (GO:0030173)	33	0	.26	-	 < 0.01	1.00E00	1.07E00	0	.50	-	 < 0.01	1.00E00	1.16E00	0	.08	-	 < 0.01	1.00E00	1.42E00
organelle membrane (GO:0031090)	56	2	.44	+	4.50	7.66E-02	1.07E00	2	.85	+	2.36	2.14E-01	1.41E00	0	.13	-	 < 0.01	1.00E00	7.34E00
histone acetyltransferase complex (GO:0000123)	40	0	.32	-	 < 0.01	1.00E00	1.07E00	0	.60	-	 < 0.01	1.00E00	1.42E00	0	.09	-	 < 0.01	1.00E00	1.29E00
intracellular organelle (GO:0043229)	2375	11	18.85	-	.58	6.48E-02	1.07E00	25	35.90	-	.70	6.06E-02	8.48E-01	4	5.54	-	.72	6.53E-01	6.23E00
SCF ubiquitin ligase complex (GO:0019005)	40	0	.32	-	 < 0.01	1.00E00	1.08E00	0	.60	-	 < 0.01	1.00E00	1.43E00	0	.09	-	 < 0.01	1.00E00	1.30E00
ciliary part (GO:0044441)	40	0	.32	-	 < 0.01	1.00E00	1.08E00	0	.60	-	 < 0.01	1.00E00	1.43E00	0	.09	-	 < 0.01	1.00E00	1.30E00
nuclear envelope (GO:0005635)	80	0	.64	-	 < 0.01	1.00E00	1.08E00	1	1.21	-	.83	1.00E00	1.28E00	0	.19	-	 < 0.01	1.00E00	5.82E00
plasma membrane bounded cell projection cytoplasm (GO:0032838)	52	0	.41	-	 < 0.01	1.00E00	1.08E00	0	.79	-	 < 0.01	1.00E00	2.78E00	0	.12	-	 < 0.01	1.00E00	5.09E00
cytoplasmic region (GO:0099568)	52	0	.41	-	 < 0.01	1.00E00	1.09E00	0	.79	-	 < 0.01	1.00E00	2.80E00	0	.12	-	 < 0.01	1.00E00	5.15E00
holo TFIIH complex (GO:0005675)	8	0	.06	-	 < 0.01	1.00E00	1.09E00	0	.12	-	 < 0.01	1.00E00	1.85E00	0	.02	-	 < 0.01	1.00E00	2.53E00
anaphase-promoting complex (GO:0005680)	8	0	.06	-	 < 0.01	1.00E00	1.09E00	0	.12	-	 < 0.01	1.00E00	1.86E00	0	.02	-	 < 0.01	1.00E00	2.55E00
preribosome, small subunit precursor (GO:0030688)	8	0	.06	-	 < 0.01	1.00E00	1.10E00	0	.12	-	 < 0.01	1.00E00	1.87E00	0	.02	-	 < 0.01	1.00E00	2.56E00
core TFIIH complex (GO:0000439)	8	0	.06	-	 < 0.01	1.00E00	1.10E00	0	.12	-	 < 0.01	1.00E00	1.87E00	0	.02	-	 < 0.01	1.00E00	2.57E00
proteasome regulatory particle, lid subcomplex (GO:0008541)	8	0	.06	-	 < 0.01	1.00E00	1.10E00	0	.12	-	 < 0.01	1.00E00	1.88E00	0	.02	-	 < 0.01	1.00E00	2.59E00
chaperonin-containing T-complex (GO:0005832)	8	0	.06	-	 < 0.01	1.00E00	1.10E00	0	.12	-	 < 0.01	1.00E00	1.89E00	0	.02	-	 < 0.01	1.00E00	2.60E00
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	8	0	.06	-	 < 0.01	1.00E00	1.11E00	1	.12	+	8.27	1.26E-01	1.23E00	0	.02	-	 < 0.01	1.00E00	2.62E00
Golgi cisterna (GO:0031985)	8	0	.06	-	 < 0.01	1.00E00	1.11E00	0	.12	-	 < 0.01	1.00E00	1.90E00	0	.02	-	 < 0.01	1.00E00	2.64E00
proteasome core complex, alpha-subunit complex (GO:0019773)	8	0	.06	-	 < 0.01	1.00E00	1.11E00	0	.12	-	 < 0.01	1.00E00	1.91E00	0	.02	-	 < 0.01	1.00E00	2.65E00
intracellular membrane-bounded organelle (GO:0043231)	2369	11	18.81	-	.58	6.46E-02	1.11E00	25	35.81	-	.70	6.05E-02	8.74E-01	4	5.53	-	.72	6.53E-01	6.36E00
protein acetyltransferase complex (GO:0031248)	8	0	.06	-	 < 0.01	1.00E00	1.11E00	0	.12	-	 < 0.01	1.00E00	1.91E00	0	.02	-	 < 0.01	1.00E00	2.67E00
ribosomal subunit (GO:0044391)	8	0	.06	-	 < 0.01	1.00E00	1.12E00	0	.12	-	 < 0.01	1.00E00	1.92E00	0	.02	-	 < 0.01	1.00E00	2.68E00
A band (GO:0031672)	8	0	.06	-	 < 0.01	1.00E00	1.12E00	0	.12	-	 < 0.01	1.00E00	1.93E00	0	.02	-	 < 0.01	1.00E00	2.70E00
mitochondrial membrane part (GO:0044455)	8	0	.06	-	 < 0.01	1.00E00	1.12E00	0	.12	-	 < 0.01	1.00E00	1.94E00	0	.02	-	 < 0.01	1.00E00	2.72E00
transcription export complex (GO:0000346)	8	0	.06	-	 < 0.01	1.00E00	1.13E00	0	.12	-	 < 0.01	1.00E00	1.95E00	0	.02	-	 < 0.01	1.00E00	2.73E00
coated vesicle membrane (GO:0030662)	8	0	.06	-	 < 0.01	1.00E00	1.13E00	0	.12	-	 < 0.01	1.00E00	1.96E00	0	.02	-	 < 0.01	1.00E00	2.75E00
cytosolic large ribosomal subunit (GO:0022625)	75	0	.60	-	 < 0.01	1.00E00	1.13E00	0	1.13	-	 < 0.01	6.31E-01	2.25E00	0	.17	-	 < 0.01	1.00E00	8.96E00
preribosome, large subunit precursor (GO:0030687)	26	0	.21	-	 < 0.01	1.00E00	1.13E00	0	.39	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.95E00
inner mitochondrial membrane protein complex (GO:0098800)	26	0	.21	-	 < 0.01	1.00E00	1.14E00	0	.39	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.96E00
actin cytoskeleton (GO:0015629)	214	4	1.70	+	2.35	9.40E-02	1.14E00	4	3.23	+	1.24	5.70E-01	2.18E00	0	.50	-	 < 0.01	1.00E00	5.40E00
plasma membrane bounded cell projection part (GO:0120038)	26	0	.21	-	 < 0.01	1.00E00	1.14E00	1	.39	+	2.54	3.33E-01	1.66E00	0	.06	-	 < 0.01	1.00E00	1.96E00
distal axon (GO:0150034)	26	0	.21	-	 < 0.01	1.00E00	1.14E00	0	.39	-	 < 0.01	1.00E00	1.01E00	0	.06	-	 < 0.01	1.00E00	1.97E00
cell projection membrane (GO:0031253)	26	0	.21	-	 < 0.01	1.00E00	1.15E00	1	.39	+	2.54	3.33E-01	1.68E00	0	.06	-	 < 0.01	1.00E00	1.98E00
apical plasma membrane (GO:0016324)	26	0	.21	-	 < 0.01	1.00E00	1.15E00	0	.39	-	 < 0.01	1.00E00	1.01E00	0	.06	-	 < 0.01	1.00E00	1.99E00
U6 snRNP (GO:0005688)	29	0	.23	-	 < 0.01	1.00E00	1.15E00	0	.44	-	 < 0.01	1.00E00	1.04E00	0	.07	-	 < 0.01	1.00E00	1.08E00
lysosomal membrane (GO:0005765)	29	0	.23	-	 < 0.01	1.00E00	1.15E00	0	.44	-	 < 0.01	1.00E00	1.04E00	0	.07	-	 < 0.01	1.00E00	1.08E00
proton-transporting two-sector ATPase complex (GO:0016469)	29	0	.23	-	 < 0.01	1.00E00	1.16E00	0	.44	-	 < 0.01	1.00E00	1.05E00	0	.07	-	 < 0.01	1.00E00	1.08E00
protein-DNA complex (GO:0032993)	29	0	.23	-	 < 0.01	1.00E00	1.16E00	0	.44	-	 < 0.01	1.00E00	1.05E00	0	.07	-	 < 0.01	1.00E00	1.09E00
Lsm2-8 complex (GO:0120115)	29	0	.23	-	 < 0.01	1.00E00	1.16E00	0	.44	-	 < 0.01	1.00E00	1.05E00	0	.07	-	 < 0.01	1.00E00	1.09E00
core mediator complex (GO:0070847)	29	0	.23	-	 < 0.01	1.00E00	1.17E00	0	.44	-	 < 0.01	1.00E00	1.05E00	0	.07	-	 < 0.01	1.00E00	1.09E00
U12-type spliceosomal complex (GO:0005689)	11	0	.09	-	 < 0.01	1.00E00	1.17E00	0	.17	-	 < 0.01	1.00E00	1.16E00	0	.03	-	 < 0.01	1.00E00	1.82E00
small nucleolar ribonucleoprotein complex (GO:0005732)	11	0	.09	-	 < 0.01	1.00E00	1.17E00	0	.17	-	 < 0.01	1.00E00	1.17E00	0	.03	-	 < 0.01	1.00E00	1.83E00
mitochondrial inner membrane presequence translocase complex (GO:0005744)	11	0	.09	-	 < 0.01	1.00E00	1.18E00	0	.17	-	 < 0.01	1.00E00	1.17E00	0	.03	-	 < 0.01	1.00E00	1.84E00
transcriptional repressor complex (GO:0017053)	11	0	.09	-	 < 0.01	1.00E00	1.18E00	0	.17	-	 < 0.01	1.00E00	1.17E00	0	.03	-	 < 0.01	1.00E00	1.84E00
COP9 signalosome (GO:0008180)	11	0	.09	-	 < 0.01	1.00E00	1.18E00	0	.17	-	 < 0.01	1.00E00	1.18E00	0	.03	-	 < 0.01	1.00E00	1.85E00
rough endoplasmic reticulum (GO:0005791)	11	0	.09	-	 < 0.01	1.00E00	1.19E00	0	.17	-	 < 0.01	1.00E00	1.18E00	0	.03	-	 < 0.01	1.00E00	1.86E00
polysome (GO:0005844)	11	0	.09	-	 < 0.01	1.00E00	1.19E00	0	.17	-	 < 0.01	1.00E00	1.18E00	0	.03	-	 < 0.01	1.00E00	1.87E00
cytoplasmic dynein complex (GO:0005868)	11	0	.09	-	 < 0.01	1.00E00	1.19E00	0	.17	-	 < 0.01	1.00E00	1.19E00	0	.03	-	 < 0.01	1.00E00	1.88E00
COPI vesicle coat (GO:0030126)	11	0	.09	-	 < 0.01	1.00E00	1.19E00	0	.17	-	 < 0.01	1.00E00	1.19E00	0	.03	-	 < 0.01	1.00E00	1.89E00
membrane microdomain (GO:0098857)	11	0	.09	-	 < 0.01	1.00E00	1.20E00	1	.17	+	6.01	1.65E-01	1.37E00	0	.03	-	 < 0.01	1.00E00	1.90E00
clathrin-coated vesicle (GO:0030136)	11	0	.09	-	 < 0.01	1.00E00	1.20E00	0	.17	-	 < 0.01	1.00E00	1.19E00	0	.03	-	 < 0.01	1.00E00	1.91E00
ruffle (GO:0001726)	13	1	.10	+	9.69	1.05E-01	1.20E00	1	.20	+	5.09	1.89E-01	1.33E00	0	.03	-	 < 0.01	1.00E00	1.12E00
apical junction complex (GO:0043296)	11	0	.09	-	 < 0.01	1.00E00	1.20E00	0	.17	-	 < 0.01	1.00E00	1.19E00	0	.03	-	 < 0.01	1.00E00	1.91E00
SAGA-type complex (GO:0070461)	11	0	.09	-	 < 0.01	1.00E00	1.21E00	0	.17	-	 < 0.01	1.00E00	1.20E00	0	.03	-	 < 0.01	1.00E00	1.92E00
membrane raft (GO:0045121)	11	0	.09	-	 < 0.01	1.00E00	1.21E00	1	.17	+	6.01	1.65E-01	1.39E00	0	.03	-	 < 0.01	1.00E00	1.93E00
spindle midzone (GO:0051233)	11	0	.09	-	 < 0.01	1.00E00	1.21E00	0	.17	-	 < 0.01	1.00E00	1.20E00	0	.03	-	 < 0.01	1.00E00	1.94E00
autophagosome (GO:0005776)	18	0	.14	-	 < 0.01	1.00E00	1.22E00	0	.27	-	 < 0.01	1.00E00	1.08E00	0	.04	-	 < 0.01	1.00E00	2.01E00
lipid droplet (GO:0005811)	18	0	.14	-	 < 0.01	1.00E00	1.22E00	1	.27	+	3.68	2.48E-01	1.54E00	0	.04	-	 < 0.01	1.00E00	2.02E00
PcG protein complex (GO:0031519)	18	0	.14	-	 < 0.01	1.00E00	1.22E00	0	.27	-	 < 0.01	1.00E00	1.08E00	0	.04	-	 < 0.01	1.00E00	2.03E00
oxidoreductase complex (GO:1990204)	18	0	.14	-	 < 0.01	1.00E00	1.23E00	1	.27	+	3.68	2.48E-01	1.57E00	0	.04	-	 < 0.01	1.00E00	2.04E00
mitochondrial part (GO:0044429)	88	0	.70	-	 < 0.01	1.00E00	1.23E00	0	1.33	-	 < 0.01	6.44E-01	2.22E00	0	.21	-	 < 0.01	1.00E00	6.40E00
synapse (GO:0045202)	19	0	.15	-	 < 0.01	1.00E00	1.23E00	0	.29	-	 < 0.01	1.00E00	1.06E00	0	.04	-	 < 0.01	1.00E00	1.68E00
cytoplasmic vesicle membrane (GO:0030659)	13	1	.10	+	9.69	1.05E-01	1.24E00	1	.20	+	5.09	1.89E-01	1.35E00	0	.03	-	 < 0.01	1.00E00	1.13E00
actin filament bundle (GO:0032432)	19	0	.15	-	 < 0.01	1.00E00	1.24E00	0	.29	-	 < 0.01	1.00E00	1.06E00	0	.04	-	 < 0.01	1.00E00	1.68E00
spindle pole (GO:0000922)	19	0	.15	-	 < 0.01	1.00E00	1.24E00	0	.29	-	 < 0.01	1.00E00	1.06E00	0	.04	-	 < 0.01	1.00E00	1.69E00
axonemal microtubule (GO:0005879)	19	0	.15	-	 < 0.01	1.00E00	1.24E00	0	.29	-	 < 0.01	1.00E00	1.06E00	0	.04	-	 < 0.01	1.00E00	1.70E00
sperm flagellum (GO:0036126)	19	0	.15	-	 < 0.01	1.00E00	1.25E00	0	.29	-	 < 0.01	1.00E00	1.07E00	0	.04	-	 < 0.01	1.00E00	1.70E00
inner dynein arm (GO:0036156)	19	0	.15	-	 < 0.01	1.00E00	1.25E00	0	.29	-	 < 0.01	1.00E00	1.07E00	0	.04	-	 < 0.01	1.00E00	1.71E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	19	0	.15	-	 < 0.01	1.00E00	1.25E00	0	.29	-	 < 0.01	1.00E00	1.07E00	0	.04	-	 < 0.01	1.00E00	1.72E00
leading edge membrane (GO:0031256)	19	0	.15	-	 < 0.01	1.00E00	1.26E00	1	.29	+	3.48	2.59E-01	1.57E00	0	.04	-	 < 0.01	1.00E00	1.72E00
preribosome (GO:0030684)	76	0	.60	-	 < 0.01	1.00E00	1.26E00	0	1.15	-	 < 0.01	6.32E-01	2.23E00	0	.18	-	 < 0.01	1.00E00	6.14E00
postsynapse (GO:0098794)	71	2	.56	+	3.55	1.13E-01	1.27E00	4	1.07	+	3.73	2.57E-02	5.00E-01	0	.17	-	 < 0.01	1.00E00	5.60E00
dynein complex (GO:0030286)	54	0	.43	-	 < 0.01	1.00E00	1.27E00	0	.82	-	 < 0.01	1.00E00	1.77E00	0	.13	-	 < 0.01	1.00E00	6.49E00
supramolecular fiber (GO:0099512)	54	0	.43	-	 < 0.01	1.00E00	1.27E00	0	.82	-	 < 0.01	1.00E00	1.78E00	0	.13	-	 < 0.01	1.00E00	6.59E00
