




Analysis Type:	PANTHER Overrepresentation Test (Released 20190308)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	NB (Mus musculus )TAP (Mus musculus )aNSC (Mus musculus )
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Cellular Component	Mus musculus - REFLIST (22296)	NB (297)	NB (expected)	NB (over/under)	NB (fold Enrichment)	NB (raw P-value)	NB (FDR)	TAP (667)	TAP (expected)	TAP (over/under)	TAP (fold Enrichment)	TAP (raw P-value)	TAP (FDR)	aNSC (352)	aNSC (expected)	aNSC (over/under)	aNSC (fold Enrichment)	aNSC (raw P-value)	aNSC (FDR)
cytosolic ribosome (GO:0022626)	117	57	1.56	+	36.57	2.34E-64	1.05E-61	66	3.50	+	18.86	3.76E-54	8.41E-52	63	1.85	+	34.11	1.98E-68	4.45E-66
intracellular membrane-bounded organelle (GO:0043231)	2369	56	31.56	+	1.77	2.70E-05	5.26E-04	177	70.87	+	2.50	1.87E-29	1.40E-27	98	37.40	+	2.62	6.51E-19	2.65E-17
intracellular organelle (GO:0043229)	2375	56	31.64	+	1.77	2.80E-05	5.23E-04	177	71.05	+	2.49	2.35E-29	1.50E-27	98	37.50	+	2.61	7.70E-19	2.88E-17
nucleus (GO:0005634)	2223	55	29.61	+	1.86	9.54E-06	2.37E-04	177	66.50	+	2.66	1.36E-32	1.52E-30	98	35.10	+	2.79	8.93E-21	4.44E-19
cytosolic large ribosomal subunit (GO:0022625)	75	33	1.00	+	33.03	3.50E-36	5.23E-34	39	2.24	+	17.38	2.52E-31	2.26E-29	40	1.18	+	33.78	2.47E-43	2.77E-41
intracellular non-membrane-bounded organelle (GO:0043232)	1125	29	14.99	+	1.94	7.95E-04	1.11E-02	77	33.66	+	2.29	7.40E-11	1.23E-09	38	17.76	+	2.14	1.49E-05	1.91E-04
non-membrane-bounded organelle (GO:0043228)	1125	29	14.99	+	1.94	7.95E-04	1.08E-02	77	33.66	+	2.29	7.40E-11	1.18E-09	38	17.76	+	2.14	1.49E-05	1.86E-04
cytosolic small ribosomal subunit (GO:0022627)	39	24	.52	+	46.20	2.74E-29	2.46E-27	27	1.17	+	23.14	1.61E-24	7.20E-23	23	.62	+	37.35	4.25E-26	3.18E-24
chromosome (GO:0005694)	515	17	6.86	+	2.48	7.32E-04	1.09E-02	42	15.41	+	2.73	2.03E-08	2.60E-07	28	8.13	+	3.44	3.47E-08	6.47E-07
chromosomal part (GO:0044427)	497	16	6.62	+	2.42	1.34E-03	1.76E-02	40	14.87	+	2.69	6.18E-08	7.10E-07	28	7.85	+	3.57	1.70E-08	3.30E-07
ribonucleoprotein complex (GO:1990904)	233	15	3.10	+	4.83	1.12E-06	3.14E-05	40	6.97	+	5.74	3.20E-17	9.55E-16	29	3.68	+	7.88	1.32E-16	4.56E-15
nuclear chromatin (GO:0000790)	420	15	5.59	+	2.68	6.94E-04	1.07E-02	27	12.56	+	2.15	4.83E-04	2.96E-03	20	6.63	+	3.02	2.09E-05	2.46E-04
chromatin (GO:0000785)	450	15	5.99	+	2.50	1.35E-03	1.73E-02	31	13.46	+	2.30	4.33E-05	3.52E-04	24	7.10	+	3.38	4.71E-07	8.12E-06
ribosome (GO:0005840)	17	5	.23	+	22.08	8.32E-06	2.19E-04	6	.51	+	11.80	3.89E-05	3.22E-04	5	.27	+	18.63	1.87E-05	2.26E-04
membrane part (GO:0044425)	1534	4	20.43	-	.20	1.35E-05	3.01E-04	4	45.89	-	.09	2.20E-15	5.80E-14	2	24.22	-	.08	1.11E-08	2.25E-07
membrane (GO:0016020)	1555	4	20.71	-	.19	1.38E-05	2.95E-04	4	46.52	-	.09	9.73E-16	2.72E-14	2	24.55	-	.08	7.35E-09	1.57E-07
extracellular region (GO:0005576)	1347	1	17.94	-	.06	3.85E-07	1.15E-05	3	40.30	-	.07	3.83E-14	9.53E-13	3	21.27	-	.14	1.22E-06	2.03E-05
intrinsic component of membrane (GO:0031224)	1091	1	14.53	-	.07	1.40E-05	2.84E-04	1	32.64	-	.03	3.60E-13	7.33E-12	2	17.22	-	.12	7.61E-06	1.14E-04
integral component of plasma membrane (GO:0005887)	848	1	11.30	-	.09	2.93E-04	4.85E-03	1	25.37	-	.04	4.50E-10	6.72E-09	2	13.39	-	.15	3.10E-04	2.48E-03
integral component of membrane (GO:0016021)	1079	1	14.37	-	.07	1.33E-05	3.15E-04	1	32.28	-	.03	5.47E-13	1.07E-11	2	17.03	-	.12	1.15E-05	1.51E-04
extracellular space (GO:0005615)	1196	0	15.93	-	 < 0.01	1.43E-07	4.59E-06	3	35.78	-	.08	2.85E-12	5.11E-11	3	18.88	-	.16	1.11E-05	1.56E-04
extracellular region part (GO:0044421)	1260	0	16.78	-	 < 0.01	6.32E-08	2.18E-06	3	37.69	-	.08	6.45E-13	1.20E-11	3	19.89	-	.15	5.51E-06	8.51E-05
